

Microchip MPLAB XC8 Assembler V2.46 build 20240104201356 
                                                                                               Tue May 07 09:24:59 2024

Microchip MPLAB XC8 C Compiler v2.46 (Free license) build 20240104201356 Og1 
     1                           	processor	16F677
     2                           	pagewidth 120
     3                           	opt	flic
     4                           	psect	cinit,global,class=CODE,merge=1,delta=2
     5                           	psect	bssBANK0,global,class=BANK0,space=1,delta=1,noexec
     6                           	psect	clrtext,global,class=CODE,delta=2
     7                           	psect	cstackCOMMON,global,class=COMMON,space=1,delta=1,noexec
     8                           	psect	maintext,global,class=CODE,split=1,delta=2
     9                           	psect	text1,local,class=CODE,merge=1,delta=2
    10                           	psect	text2,local,class=CODE,merge=1,delta=2
    11                           	psect	text3,local,class=CODE,merge=1,delta=2
    12                           	psect	text4,local,class=CODE,merge=1,delta=2
    13                           	psect	intentry,global,class=CODE,delta=2
    14                           	psect	config,global,abs,ovrld,class=CONFIG,space=4,delta=2,noexec
    15                           	dabs	1,0x7E,2
    16     0000                     
    17                           ; Generated 12/10/2023 GMT
   299     001F                     clear_ram0:	
   300                           ;	Called with FSR containing the base address, and
   301                           ;	W with the last address+1
   302                           
   303     001F  0064               	clrwdt	;clear the watchdog before getting into this loop
   304     0020                     clrloop0:
   305     0020  0180               	clrf	0	;clear RAM location pointed to by FSR
   306     0021  0A84               	incf	4,f	;increment pointer
   307     0022  0604               	xorwf	4,w	;XOR with final address
   308     0023  1903               	btfsc	3,2	;have we reached the end yet?
   309     0024  3400               	retlw	0	;all done for this memory range, return
   310     0025  0604               	xorwf	4,w	;XOR again to restore value
   311     0026  2820               	goto	clrloop0	;do the next byte
   312                           
   313                           	psect	cstackCOMMON
   314     0070                     __pcstackCOMMON:
   315     0070                     ?_externalInterrup_Init:
   316     0070                     ?_ADC_Init:	
   317                           ; 1 bytes @ 0x0
   318                           
   319     0070                     ?_System_init:	
   320                           ; 1 bytes @ 0x0
   321                           
   322     0070                     ?_main:	
   323                           ; 1 bytes @ 0x0
   324                           
   325     0070                     ?_ISR:	
   326                           ; 1 bytes @ 0x0
   327                           
   328     0070                     ??_ISR:	
   329                           ; 1 bytes @ 0x0
   330                           
   331                           
   332                           ; 1 bytes @ 0x0
   333     0070                     	ds	2
   334     0072                     ??_externalInterrup_Init:
   335     0072                     ??_ADC_Init:	
   336                           ; 1 bytes @ 0x2
   337                           
   338     0072                     ??_System_init:	
   339                           ; 1 bytes @ 0x2
   340                           
   341     0072                     ??_main:	
   342                           ; 1 bytes @ 0x2
   343                           
   344                           
   345                           	psect	maintext
   346     002E                     __pmaintext:	
   347                           ; 1 bytes @ 0x2
   348 ;;
   349 ;;Main: autosize = 0, tempsize = 0, incstack = 0, save=0
   350 ;;
   351 ;; *************** function _main *****************
   352 ;; Defined at:
   353 ;;		line 7 in file "main.c"
   354 ;; Parameters:    Size  Location     Type
   355 ;;		None
   356 ;; Auto vars:     Size  Location     Type
   357 ;;		None
   358 ;; Return value:  Size  Location     Type
   359 ;;                  1    wreg      void 
   360 ;; Registers used:
   361 ;;		wreg, status,2, status,0, btemp+1, pclath, cstack
   362 ;; Tracked objects:
   363 ;;		On entry : B00/0
   364 ;;		On exit  : 0/0
   365 ;;		Unchanged: 0/0
   366 ;; Data sizes:     COMMON   BANK0   BANK1
   367 ;;      Params:         0       0       0
   368 ;;      Locals:         0       0       0
   369 ;;      Temps:          0       0       0
   370 ;;      Totals:         0       0       0
   371 ;;Total ram usage:        0 bytes
   372 ;; Hardware stack levels required when called: 3
   373 ;; This function calls:
   374 ;;		_System_init
   375 ;; This function is called by:
   376 ;;		Startup code after reset
   377 ;; This function uses a non-reentrant model
   378 ;;
   379                           
   380     002E                     _main:	
   381                           ;psect for function _main
   382                           
   383     002E                     l620:	
   384                           ;incstack = 0
   385                           ; Regs used in _main: [wreg+status,2+status,0+btemp+1+pclath+cstack]
   386                           
   387                           
   388                           ;main.c: 8:     System_init();
   389     002E  2031               	fcall	_System_init
   390     002F                     l37:	
   391                           ;main.c: 9:     while (1) {
   392                           
   393     002F                     l38:	
   394                           ;main.c: 11:     }
   395                           
   396     002F  282F               	goto	l37
   397     0030  280A               	ljmp	start
   398     0031                     __end_of_main:
   399                           
   400                           	psect	text1
   401     0031                     __ptext1:	
   402 ;; *************** function _System_init *****************
   403 ;; Defined at:
   404 ;;		line 7 in file "Modules/sys.c"
   405 ;; Parameters:    Size  Location     Type
   406 ;;		None
   407 ;; Auto vars:     Size  Location     Type
   408 ;;		None
   409 ;; Return value:  Size  Location     Type
   410 ;;                  1    wreg      void 
   411 ;; Registers used:
   412 ;;		wreg, status,2, status,0, btemp+1, pclath, cstack
   413 ;; Tracked objects:
   414 ;;		On entry : 0/0
   415 ;;		On exit  : 0/0
   416 ;;		Unchanged: 0/0
   417 ;; Data sizes:     COMMON   BANK0   BANK1
   418 ;;      Params:         0       0       0
   419 ;;      Locals:         0       0       0
   420 ;;      Temps:          0       0       0
   421 ;;      Totals:         0       0       0
   422 ;;Total ram usage:        0 bytes
   423 ;; Hardware stack levels used: 1
   424 ;; Hardware stack levels required when called: 2
   425 ;; This function calls:
   426 ;;		_ADC_Init
   427 ;;		_externalInterrup_Init
   428 ;; This function is called by:
   429 ;;		_main
   430 ;; This function uses a non-reentrant model
   431 ;;
   432                           
   433     0031                     _System_init:	
   434                           ;psect for function _System_init
   435                           
   436     0031                     l602:	
   437                           ;incstack = 0
   438                           ; Regs used in _System_init: [wreg+status,2+status,0+btemp+1+pclath+cstack]
   439                           
   440                           
   441                           ;Modules/sys.c: 9:     ADC_Init();
   442     0031  2012               	fcall	_ADC_Init
   443     0032                     l604:
   444                           
   445                           ;Modules/sys.c: 10:     externalInterrup_Init();
   446     0032  2034               	fcall	_externalInterrup_Init
   447     0033                     l28:
   448     0033  0008               	return
   449     0034                     __end_of_System_init:
   450                           
   451                           	psect	text2
   452     0034                     __ptext2:	
   453 ;; *************** function _externalInterrup_Init *****************
   454 ;; Defined at:
   455 ;;		line 1 in file "Modules/extInt.c"
   456 ;; Parameters:    Size  Location     Type
   457 ;;		None
   458 ;; Auto vars:     Size  Location     Type
   459 ;;		None
   460 ;; Return value:  Size  Location     Type
   461 ;;                  1    wreg      void 
   462 ;; Registers used:
   463 ;;		None
   464 ;; Tracked objects:
   465 ;;		On entry : 0/0
   466 ;;		On exit  : 0/0
   467 ;;		Unchanged: 0/0
   468 ;; Data sizes:     COMMON   BANK0   BANK1
   469 ;;      Params:         0       0       0
   470 ;;      Locals:         0       0       0
   471 ;;      Temps:          0       0       0
   472 ;;      Totals:         0       0       0
   473 ;;Total ram usage:        0 bytes
   474 ;; Hardware stack levels used: 1
   475 ;; Hardware stack levels required when called: 1
   476 ;; This function calls:
   477 ;;		Nothing
   478 ;; This function is called by:
   479 ;;		_System_init
   480 ;; This function uses a non-reentrant model
   481 ;;
   482                           
   483     0034                     _externalInterrup_Init:	
   484                           ;psect for function _externalInterrup_Init
   485                           
   486     0034                     l54:	
   487                           ;incstack = 0
   488                           ; Regs used in _externalInterrup_Init: []
   489                           
   490     0034  0008               	return
   491     0035                     __end_of_externalInterrup_Init:
   492                           
   493                           	psect	text3
   494     0012                     __ptext3:	
   495 ;; *************** function _ADC_Init *****************
   496 ;; Defined at:
   497 ;;		line 7 in file "Modules/adc.c"
   498 ;; Parameters:    Size  Location     Type
   499 ;;		None
   500 ;; Auto vars:     Size  Location     Type
   501 ;;		None
   502 ;; Return value:  Size  Location     Type
   503 ;;                  1    wreg      void 
   504 ;; Registers used:
   505 ;;		wreg, status,2, status,0, btemp+1
   506 ;; Tracked objects:
   507 ;;		On entry : 0/0
   508 ;;		On exit  : 0/0
   509 ;;		Unchanged: 0/0
   510 ;; Data sizes:     COMMON   BANK0   BANK1
   511 ;;      Params:         0       0       0
   512 ;;      Locals:         0       0       0
   513 ;;      Temps:          0       0       0
   514 ;;      Totals:         0       0       0
   515 ;;Total ram usage:        0 bytes
   516 ;; Hardware stack levels used: 1
   517 ;; Hardware stack levels required when called: 1
   518 ;; This function calls:
   519 ;;		Nothing
   520 ;; This function is called by:
   521 ;;		_System_init
   522 ;; This function uses a non-reentrant model
   523 ;;
   524                           
   525     0012                     _ADC_Init:	
   526                           ;psect for function _ADC_Init
   527                           
   528     0012                     l598:	
   529                           ;incstack = 0
   530                           ; Regs used in _ADC_Init: [wreg+status,2+status,0+btemp+1]
   531                           
   532                           
   533                           ;Modules/adc.c: 8:     ADCON0 = 0x81;
   534     0012  3081               	movlw	129
   535     0013  1283               	bcf	3,5	;RP0=0, select bank0
   536     0014  1303               	bcf	3,6	;RP1=0, select bank0
   537     0015  009F               	movwf	31	;volatile
   538                           
   539                           ;Modules/adc.c: 9:     ADCON1 = 0x8E;
   540     0016  308E               	movlw	142
   541     0017  1683               	bsf	3,5	;RP0=1, select bank1
   542     0018  1303               	bcf	3,6	;RP1=0, select bank1
   543     0019  009F               	movwf	31	;volatile
   544     001A                     l600:
   545                           
   546                           ;Modules/adc.c: 10:     TRISA |= 0x03;
   547     001A  3003               	movlw	3
   548     001B  00FF               	movwf	btemp+1
   549     001C  087F               	movf	btemp+1,w
   550     001D  0485               	iorwf	5,f	;volatile
   551     001E                     l15:
   552     001E  0008               	return
   553     001F                     __end_of_ADC_Init:
   554                           
   555                           	psect	text4
   556     0027                     __ptext4:	
   557 ;; *************** function _ISR *****************
   558 ;; Defined at:
   559 ;;		line 15 in file "main.c"
   560 ;; Parameters:    Size  Location     Type
   561 ;;		None
   562 ;; Auto vars:     Size  Location     Type
   563 ;;		None
   564 ;; Return value:  Size  Location     Type
   565 ;;                  1    wreg      void 
   566 ;; Registers used:
   567 ;;		None
   568 ;; Tracked objects:
   569 ;;		On entry : 0/0
   570 ;;		On exit  : 0/0
   571 ;;		Unchanged: 0/0
   572 ;; Data sizes:     COMMON   BANK0   BANK1
   573 ;;      Params:         0       0       0
   574 ;;      Locals:         0       0       0
   575 ;;      Temps:          2       0       0
   576 ;;      Totals:         2       0       0
   577 ;;Total ram usage:        2 bytes
   578 ;; Hardware stack levels used: 1
   579 ;; This function calls:
   580 ;;		Nothing
   581 ;; This function is called by:
   582 ;;		Interrupt level 1
   583 ;; This function uses a non-reentrant model
   584 ;;
   585                           
   586     0027                     _ISR:	
   587                           ;psect for function _ISR
   588                           
   589     0027                     i1l45:
   590     0027  0871               	movf	??_ISR+1,w
   591     0028  008A               	movwf	10
   592     0029  0E70               	swapf	??_ISR,w
   593     002A  0083               	movwf	3
   594     002B  0EFE               	swapf	btemp,f
   595     002C  0E7E               	swapf	btemp,w
   596     002D  0009               	retfie
   597     002E                     __end_of_ISR:
   598     007E                     btemp	set	126	;btemp
   599     007E                     wtemp0	set	126
   600                           
   601                           	psect	intentry
   602     0004                     __pintentry:	
   603                           ;incstack = 0
   604                           ; Regs used in _ISR: []
   605                           
   606     0004                     interrupt_function:
   607     007E                     saved_w	set	btemp
   608     0004  00FE               	movwf	btemp
   609     0005  0E03               	swapf	3,w
   610     0006  00F0               	movwf	??_ISR
   611     0007  080A               	movf	10,w
   612     0008  00F1               	movwf	??_ISR+1
   613     0009  2827               	ljmp	_ISR
   614                           
   615                           	psect	config
   616                           
   617                           ;Config register CONFIG @ 0x2007
   618                           ;	Oscillator Selection bits
   619                           ;	FOSC = INTRCIO, INTOSCIO oscillator: I/O function on RA4/OSC2/CLKOUT pin, I/O function
      +                           on RA5/OSC1/CLKIN
   620                           ;	Watchdog Timer Enable bit
   621                           ;	WDTE = OFF, WDT disabled and can be enabled by SWDTEN bit of the WDTCON register
   622                           ;	Power-up Timer Enable bit
   623                           ;	PWRTE = OFF, PWRT disabled
   624                           ;	MCLR Pin Function Select bit
   625                           ;	MCLRE = ON, MCLR pin function is MCLR
   626                           ;	Code Protection bit
   627                           ;	CP = ON, Program memory code protection is enabled
   628                           ;	Data Code Protection bit
   629                           ;	CPD = ON, Data memory code protection is enabled
   630                           ;	Brown-out Reset Selection bits
   631                           ;	BOREN = OFF, BOR disabled
   632                           ;	Internal External Switchover bit
   633                           ;	IESO = OFF, Internal External Switchover mode is disabled
   634                           ;	Fail-Safe Clock Monitor Enabled bit
   635                           ;	FCMEN = OFF, Fail-Safe Clock Monitor is disabled
   636     2007                     	org	8199
   637     2007  3034               	dw	12340

Data Sizes:
    Strings     0
    Constant    0
    Data        0
    BSS         20
    Persistent  0
    Stack       0

Auto Spaces:
    Space          Size  Autos    Used
    COMMON           14      2       2
    BANK0            80      0      20
    BANK1            32      0       0

Pointer List with Targets:

    None.

Critical Paths under _main in COMMON

    None.

Critical Paths under _ISR in COMMON

    None.

Critical Paths under _main in BANK0

    None.

Critical Paths under _ISR in BANK0

    None.

Critical Paths under _main in BANK1

    None.

Critical Paths under _ISR in BANK1

    None.

Call Graph Tables:

 ---------------------------------------------------------------------------------
 (Depth) Function   	        Calls       Base Space   Used Autos Params    Refs
 ---------------------------------------------------------------------------------
 (0) _main                                                 0     0      0       0
                        _System_init
 ---------------------------------------------------------------------------------
 (1) _System_init                                          0     0      0       0
                           _ADC_Init
              _externalInterrup_Init
 ---------------------------------------------------------------------------------
 (2) _externalInterrup_Init                                0     0      0       0
 ---------------------------------------------------------------------------------
 (2) _ADC_Init                                             0     0      0       0
 ---------------------------------------------------------------------------------
 Estimated maximum stack depth 2
 ---------------------------------------------------------------------------------
 (Depth) Function   	        Calls       Base Space   Used Autos Params    Refs
 ---------------------------------------------------------------------------------
 (3) _ISR                                                  2     2      0       0
                                              0 COMMON     2     2      0
 ---------------------------------------------------------------------------------
 Estimated maximum stack depth 3
 ---------------------------------------------------------------------------------

 Call Graph Graphs:

 _main (ROOT)
   _System_init
     _ADC_Init
     _externalInterrup_Init

 _ISR (ROOT)

 Address spaces:
Name               Size   Autos  Total    Cost      Usage
BITCOMMON            E      0       0       0        0.0%
EEDATA             100      0       0       0        0.0%
NULL                 0      0       0       0        0.0%
CODE                 0      0       0       0        0.0%
COMMON               E      2       2       1       14.3%
BITSFR0              0      0       0       1        0.0%
SFR0                 0      0       0       1        0.0%
BITSFR1              0      0       0       2        0.0%
SFR1                 0      0       0       2        0.0%
STACK                0      0       0       2        0.0%
BITBANK0            50      0       0       3        0.0%
BANK0               50      0      14       4       25.0%
BITSFR3              0      0       0       4        0.0%
SFR3                 0      0       0       4        0.0%
BITBANK1            20      0       0       5        0.0%
BITSFR2              0      0       0       5        0.0%
SFR2                 0      0       0       5        0.0%
BANK1               20      0       0       6        0.0%
ABS                  0      0      16       7        0.0%
DATA                 0      0      16       8        0.0%


Microchip Technology PIC Macro Assembler V2.46 build 20240104201356 
Symbol Table                                                                                   Tue May 07 09:24:59 2024

                           l15 001E                             l28 0033                             l37 002F  
                           l54 0034                             l38 002F                             fsr 0004  
                          l600 001A                            l602 0031                            l604 0032  
                          l620 002E                            l598 0012                            _ISR 0027  
                          indf 0000                           ?_ISR 0070                           i1l45 0027  
                         _main 002E                           btemp 007E               __end_of_ADC_Init 001F  
                         start 000A                          ??_ISR 0070                          ?_main 0070  
                        _TRISA 0085                          pclath 000A                          status 0003  
                        wtemp0 007E          _externalInterrup_Init 0034                __initialization 000B  
                 __end_of_main 0031                         ??_main 0072                         _ADCON0 001F  
                       _ADCON1 009F                         _ADRESH 001E                         _ADRESL 009E  
                       _tensao 0020                      ?_ADC_Init 0070                         saved_w 007E  
      __end_of__initialization 0010         ?_externalInterrup_Init 0070                 __pcstackCOMMON 0070  
                   ??_ADC_Init 0072                     __pbssBANK0 0020                     __pmaintext 002E  
                   __pintentry 0004                        _GO_DONE 00F9                  ??_System_init 0072  
                      __ptext1 0031                        __ptext2 0034                        __ptext3 0012  
                      __ptext4 0027                        clrloop0 0020           end_of_initialization 0010  
          __end_of_System_init 0034        ??_externalInterrup_Init 0072            start_initialization 000B  
                  __end_of_ISR 002E                    _System_init 0031                      ___latbits 0000  
                     _ADC_Init 0012              interrupt_function 0004                      clear_ram0 001F  
__end_of_externalInterrup_Init 0035                   ?_System_init 0070                       intlevel1 0000  
